feature,rho,pval,abs_rho,subgroup
q_tb_polarity,-0.046647998559813164,0.0027714125744290824,0.046647998559813164,Non-substantive
q_persp_flirtation,0.04209164742123468,0.006944428406482391,0.04209164742123468,Non-substantive
q_poly_feature_politeness_==HASPOSITIVE==,-0.04121710138401401,0.008208739310164836,0.04121710138401401,Non-substantive
q_poly_feature_politeness_==Deference==,-0.04105384507889116,0.008466366229807083,0.04105384507889116,Non-substantive
q_tb_subjectivity,0.04065324608334093,0.009129412120881713,0.04065324608334093,Non-substantive
q_vader_compound,0.03589155619300603,0.02135867438181409,0.03589155619300603,Non-substantive
q_template_count,0.033069056112235345,0.033965215802842216,0.033069056112235345,Non-substantive
q_persp_identity_attack,0.031755879256183644,0.04172663355578129,0.031755879256183644,Non-substantive
q_persp_severe_toxicity,-0.024102397282981466,0.12226939712288339,0.024102397282981466,Non-substantive
q_poly_feature_politeness_==Indirect_(btw)==,-0.022479255327642698,0.14952159257391467,0.022479255327642698,Non-substantive
q_persp_toxicity,0.02247147087538518,0.1496626323181542,0.02247147087538518,Non-substantive
q_persp_profanity,-0.02209892844803158,0.1565316814453252,0.02209892844803158,Non-substantive
q_poly_feature_politeness_==Direct_question==,-0.01691117075147659,0.27828739661290025,0.01691117075147659,Non-substantive
q_persp_threat,0.016880373672978576,0.27916370990291123,0.016880373672978576,Non-substantive
q_is_indented,0.015682859575385615,0.3146958401870054,0.015682859575385615,Non-substantive
q_link_count,0.01545304077743565,0.32184076893125224,0.01545304077743565,Non-substantive
q_poly_feature_politeness_==Apologizing==,-0.015281491000137372,0.3272426095724521,0.015281491000137372,Non-substantive
q_mentions_wp,0.012581523222338858,0.41991122256329827,0.012581523222338858,Non-substantive
q_mentions_help,-0.010794487025745559,0.488934266838997,0.010794487025745559,Non-substantive
q_poly_feature_politeness_==2nd_person_start==,-0.010357877390977098,0.506681670776905,0.010357877390977098,Non-substantive
q_poly_feature_politeness_==Hedges==,-0.006691366620824593,0.667954214615978,0.006691366620824593,Non-substantive
q_persp_insult,-0.006410482125907561,0.6811087369569543,0.006410482125907561,Non-substantive
q_has_sig,0.005797047208354603,0.7101720360590111,0.005797047208354603,Non-substantive
q_persp_sexually_explicit,0.002154361816216194,0.8901563689291974,0.002154361816216194,Non-substantive
q_poly_feature_politeness_==HASNEGATIVE==,0.000820121195925535,0.9580711806610738,0.000820121195925535,Non-substantive
q_poly_feature_politeness_==HASHEDGE==,0.00015622045964448658,0.9920096609092368,0.00015622045964448658,Non-substantive
